outer_loop_array_packed,middle_loop_array_packed,inner_loop_array_packed,outer_loop_tiling_factor,middle_loop_tiling_factor,inner_loop_tiling_factor,objective
True,True,True,32,32,8,0.0012014999999999
True,True,True,32,32,16,0.0007595
True,True,True,32,32,20,0.0007965
True,True,True,32,32,32,0.000762
True,True,True,32,32,50,0.0005835
True,True,True,32,32,64,0.0005275
True,True,True,32,32,80,0.0006065
True,True,True,32,32,100,0.0005499999999999
True,True,True,32,32,128,0.0006075
True,True,True,32,32,256,0.0018625
True,True,True,32,50,4,0.002001
True,True,True,32,50,8,0.0011605
True,True,True,32,50,16,0.000803
True,True,True,32,50,20,0.0008035
True,True,True,32,50,32,0.0006225
True,True,True,32,50,50,0.0005859999999999
True,True,True,32,50,64,0.0005235
True,True,True,32,50,80,0.0005705
True,True,True,32,50,100,0.0006685
True,True,True,32,50,128,0.0004725
True,True,True,32,50,256,0.001295
True,True,True,32,64,4,0.0018395
True,True,True,32,64,8,0.001117
True,True,True,32,64,16,0.00086
True,True,True,32,64,20,0.0008055
True,True,True,32,64,32,0.000661
True,True,True,32,64,50,0.0006125
True,True,True,32,64,64,0.0006025
True,True,True,32,64,80,0.00056
True,True,True,32,64,100,0.000497
True,True,True,32,64,128,0.000546
True,True,True,32,64,256,0.0034245
True,True,True,32,80,4,0.001984
True,True,True,32,80,8,0.001183
True,True,True,32,80,16,0.000771
True,True,True,32,80,20,0.000753
True,True,True,32,80,32,0.000608
True,True,True,32,80,50,0.00076
True,True,True,32,80,64,0.0005145
True,True,True,32,80,80,0.000602
True,True,True,32,80,100,0.000685
True,True,True,32,80,128,0.0005155
True,True,True,32,80,256,0.0015435
True,True,True,32,100,4,0.0018715
True,True,True,32,100,8,0.0010965
True,True,True,32,100,16,0.0007355
True,True,True,32,100,20,0.000812
True,True,True,32,100,32,0.000547
True,True,True,32,100,50,0.000588
True,True,True,32,100,64,0.0006385
True,True,True,32,100,80,0.000679
True,True,True,32,100,100,0.0006625
True,True,True,32,100,128,0.00057
True,True,True,32,100,256,0.0012079999999999
True,True,True,32,128,4,0.002031
True,True,True,32,128,8,0.0011285
True,True,True,32,128,16,0.0007884999999999
True,True,True,32,128,20,0.000821
True,True,True,32,128,32,0.0005909999999999
True,True,True,32,128,50,0.000837
True,True,True,32,128,64,0.0005835
True,True,True,32,128,80,0.000658
True,True,True,32,128,100,0.0005495
True,True,True,32,128,128,0.0006195
True,True,True,32,128,256,0.0036925
True,True,True,32,2048,4,0.001863
True,True,True,32,2048,8,0.001128
True,True,True,32,2048,16,0.0007995
True,True,True,32,2048,20,0.0008415
True,True,True,32,2048,32,0.000743
True,True,True,32,2048,50,0.0007164999999999
True,True,True,32,2048,64,0.000668
True,True,True,32,2048,80,0.0005525
True,True,True,32,2048,100,0.000685
True,True,True,32,2048,128,0.0005115
True,True,True,32,2048,256,0.0013805
True,True,True,50,4,4,0.001751
True,True,True,50,4,8,0.0011025
True,True,True,50,4,16,0.000724
True,True,True,50,4,20,0.0007875
True,True,True,50,4,32,0.000669
True,True,True,50,4,50,0.0007115
True,True,True,50,4,64,0.000685
True,True,True,50,4,80,0.0006045
True,True,True,50,4,100,0.000587
True,True,True,50,4,128,0.0005555
True,True,True,50,4,256,0.0011635
True,True,True,50,8,4,0.001722
True,True,True,50,8,8,0.001075
True,True,True,50,8,16,0.0008085
True,True,True,50,8,20,0.0007565
True,True,True,50,8,32,0.0005625
True,True,True,50,8,50,0.0006954999999999
True,True,True,50,8,64,0.00066
True,True,True,50,8,80,0.000632
True,True,True,50,8,100,0.0004835
True,True,True,50,8,128,0.000644
True,True,True,50,8,256,0.0011595
True,True,True,50,16,4,0.001668
True,True,True,50,16,8,0.0010555
True,True,True,50,16,16,0.000767
True,True,True,50,16,20,0.000776
True,True,True,50,16,32,0.000638
True,True,True,50,16,50,0.000529
True,True,True,50,16,64,0.000636
True,True,True,50,16,80,0.000626
True,True,True,50,16,100,0.000547
True,True,True,50,16,128,0.0005874999999999
True,True,True,50,16,256,0.001356
True,True,True,50,20,4,0.0017165
True,True,True,50,20,8,0.0009954999999999
True,True,True,50,20,16,0.0007125
True,True,True,50,20,20,0.000678
True,True,True,50,20,32,0.0005915
True,True,True,50,20,50,0.000693
True,True,True,50,20,64,0.0005625
True,True,True,50,20,80,0.0005715
True,True,True,50,20,100,0.0005345
True,True,True,50,20,128,0.0005579999999999
True,True,True,50,20,256,0.001212
True,True,True,50,32,4,0.0017825
True,True,True,50,32,8,0.000999
True,True,True,50,32,16,0.0007325
True,True,True,50,32,20,0.0007045
True,True,True,50,32,32,0.000592
True,True,True,50,32,50,0.0006785
True,True,True,50,32,64,0.0006869999999999
True,True,True,50,32,80,0.0006235
True,True,True,50,32,100,0.0006
True,True,True,50,32,128,0.0007099999999999
True,True,True,50,32,256,0.0019175
True,True,True,50,50,4,0.001789
