outer_loop_array_packed,middle_loop_array_packed,inner_loop_array_packed,outer_loop_tiling_factor,middle_loop_tiling_factor,inner_loop_tiling_factor,objective
True,True,True,20,50,16,3.8684
True,True,True,20,50,20,3.0154575
True,True,True,20,50,32,2.087438
True,True,True,20,50,50,1.8680495
True,True,True,20,50,64,1.984026
True,True,True,20,50,80,1.6658794999999995
True,True,True,20,50,100,1.55605
True,True,True,20,50,128,1.5446125
True,True,True,20,50,256,1.8242465
True,True,True,20,64,4,9.006158500000002
True,True,True,20,64,8,5.061056499999999
True,True,True,20,64,16,3.630912
True,True,True,20,64,20,2.8935035
True,True,True,20,64,32,2.1294345
True,True,True,20,64,50,2.051267
True,True,True,20,64,64,1.584498
True,True,True,20,64,80,1.567955
True,True,True,20,64,100,1.5820545
True,True,True,20,64,128,1.612181
True,True,True,20,64,256,1.782944
True,True,True,20,80,4,9.1240655
True,True,True,20,80,8,5.1093215
True,True,True,20,80,16,3.6323935
True,True,True,20,80,20,2.99065
True,True,True,20,80,32,2.044699
True,True,True,20,80,50,1.8329715
True,True,True,20,80,64,1.9559615
True,True,True,20,80,80,1.649404
True,True,True,20,80,100,1.5366555
True,True,True,20,80,128,1.5379955
True,True,True,20,80,256,1.8014279999999998
True,True,True,20,100,4,8.9250685
True,True,True,20,100,8,5.173451
True,True,True,20,100,16,3.845335
True,True,True,20,100,20,3.1095580000000003
True,True,True,20,100,32,2.0696865
True,True,True,20,100,50,1.8441765
True,True,True,20,100,64,1.96929
True,True,True,20,100,80,1.7733409999999998
True,True,True,20,100,100,1.5522655
True,True,True,20,100,128,1.5494504999999998
True,True,True,20,100,256,1.81366
True,True,True,20,128,4,8.868983499999997
True,True,True,20,128,8,5.1583365
True,True,True,20,128,16,3.6229065
True,True,True,20,128,20,2.9905725
True,True,True,20,128,32,2.169074
True,True,True,20,128,50,2.0611985
True,True,True,20,128,64,1.622655
True,True,True,20,128,80,1.601815
True,True,True,20,128,100,1.5881525
True,True,True,20,128,128,1.645879
True,True,True,20,128,256,1.7880355
True,True,True,20,2048,4,14.412144
True,True,True,20,2048,8,8.249433999999999
True,True,True,20,2048,16,5.353841
True,True,True,20,2048,20,4.341583
True,True,True,20,2048,32,3.0243775
True,True,True,20,2048,50,2.6290720000000003
True,True,True,20,2048,64,2.2384735
True,True,True,20,2048,80,2.1677695
True,True,True,20,2048,100,2.058535
True,True,True,20,2048,128,2.179444
True,True,True,20,2048,256,2.361805
True,True,True,32,4,4,16.665049500000002
True,True,True,32,4,8,13.294108
True,True,True,32,4,16,6.167432499999999
True,True,True,32,4,20,4.7741445
True,True,True,32,4,32,3.761396
True,True,True,32,4,50,3.1432655
True,True,True,32,4,64,2.7109135
True,True,True,32,4,80,2.7440595
True,True,True,32,4,100,2.6918135
True,True,True,32,4,128,2.5821155
True,True,True,32,4,256,2.59449
True,True,True,32,8,4,13.052978
True,True,True,32,8,8,8.1261715
True,True,True,32,8,16,4.796454499999999
True,True,True,32,8,20,3.8269265
True,True,True,32,8,32,3.223045
True,True,True,32,8,50,2.466714
True,True,True,32,8,64,2.3961795
True,True,True,32,8,80,2.1674995
True,True,True,32,8,100,2.1965405
True,True,True,32,8,128,2.3318855000000003
True,True,True,32,8,256,2.3197555
True,True,True,32,16,4,13.3739165
True,True,True,32,16,8,7.7204995
True,True,True,32,16,16,4.180185
True,True,True,32,16,20,2.851378
True,True,True,32,16,32,2.2326485000000003
True,True,True,32,16,50,1.9702925
True,True,True,32,16,64,2.2321115
True,True,True,32,16,80,1.7649245
True,True,True,32,16,100,1.874622
True,True,True,32,16,128,1.97082
True,True,True,32,16,256,1.886712
True,True,True,32,20,4,10.5177885
True,True,True,32,20,8,6.449808999999999
True,True,True,32,20,16,3.551717
True,True,True,32,20,20,2.6342835
True,True,True,32,20,32,2.077787
True,True,True,32,20,50,1.989065
True,True,True,32,20,64,1.931412
True,True,True,32,20,80,1.7766
True,True,True,32,20,100,1.876044
True,True,True,32,20,128,1.804045
True,True,True,32,20,256,1.7284864999999998
True,True,True,32,32,4,9.9447355
True,True,True,32,32,8,5.8277480000000015
True,True,True,32,32,16,3.2974905000000003
True,True,True,32,32,20,2.499377
True,True,True,32,32,32,2.061083
True,True,True,32,32,50,1.80848
True,True,True,32,32,64,1.73108
True,True,True,32,32,80,1.723555
True,True,True,32,32,100,1.7049690000000002
True,True,True,32,32,128,1.8376465
True,True,True,32,32,256,1.660373
True,True,True,32,50,4,9.86771
True,True,True,32,50,8,5.3559980000000005
True,True,True,32,50,16,3.12025
True,True,True,32,50,20,2.4137975000000003
True,True,True,32,50,32,1.9203255
True,True,True,32,50,50,1.9117815
True,True,True,32,50,64,1.8246575
